"CITY_ID","COUNTY_ID","DISTRICT_ID","CITY_NAME","NATIVE_ID"
13882,13,4,"Clayton","CYTN"
16000,13,4,"Concord","CND"
17988,13,4,"Danville","DNVL"
21796,13,4,"El Cerrito","ECR"
33308,13,4,"Hercules","HER"
39122,13,4,"Lafayette","LFYT"
46114,13,4,"Martinez","MTZ"
49194,13,4,"Moraga","MRGA"
53070,13,4,"Oakley","OKLY"
54232,13,4,"Orinda","ORIN"
57288,13,4,"Pinole","PIN"
57456,13,4,"Pittsburg","PIT"
57764,13,4,"Pleasant Hill","PLHL"
60620,13,4,"Richmond","RCH"
68294,13,4,"San Pablo","SPB"
68378,13,4,"San Ramon","SRMN"
83346,13,4,"Walnut Creek","WLC"
5164,41,4,"Belvedere","BLV"
16462,41,4,"Corte Madera","CMAD"
23168,41,4,"Fairfax","FRFX"
40438,41,4,"Larkspur","LKSP"
47710,41,4,"Mill Valley","MLV"
52582,41,4,"Novato","NVTO"
62980,41,4,"Ross","ROS"
64434,41,4,"San Anselmo","SLMO"
68364,41,4,"San Rafael","SRF"
70364,41,4,"Sausalito","SAUS"
78666,41,4,"Tiburon","TBRN"
1640,55,4,"American Canyon","AMCN"
9892,55,4,"Calistoga","CSTG"
50258,55,4,"Napa","NAP"
64140,55,4,"Saint Helena","SHLA"
86930,55,4,"Yountville","YNTV"
10340,85,4,"Campbell","CMB"
17610,85,4,"Cupertino","CPO"
29504,85,4,"Gilroy","GIL"
43280,85,4,"Los Altos","LATS"
43294,85,4,"Los Altos Hills","LAH"
44112,85,4,"Los Gatos","LGTS"
47766,85,4,"Milpitas","MPS"
48956,85,4,"Monte Sereno","MSO"
49278,85,4,"Morgan Hill","MGH"
49670,85,4,"Mountain View","MVW"
68000,85,4,"San Jose","SJS"
69084,85,4,"Santa Clara","SCL"
70280,85,4,"Saratoga","SAR"
77000,85,4,"Sunnyvale","SUNV"
3092,81,4,"Atherton","ATN"
5108,81,4,"Belmont","BMT"
8310,81,4,"Brisbane","BSBN"
9066,81,4,"Burlingame","BURL"
14736,81,4,"Colma","CLM"
17918,81,4,"Daly City","DLC"
20970,81,4,"East Palo Alto","EPAO"
25338,81,4,"Foster City","FSTC"
31708,81,4,"Half Moon Bay","HMBY"
33798,81,4,"Hillsborough","HIL"
46870,81,4,"Menlo Park","MLP"
47486,81,4,"Millbrae","MLBR"
54806,81,4,"Pacifica","PFA"
55282,81,4,"Palo Alto","PA"
58380,81,4,"Portola Valley","PTLV"
60102,81,4,"Redwood City","RDWC"
65028,81,4,"San Bruno","SBR"
65070,81,4,"San Carlos","SCAR"
68252,81,4,"San Mateo","SM"
73262,81,4,"South San Francisco","SSF"
86440,81,4,"Woodside","WDS"
67000,75,4,"San Francisco","SF"
5290,95,4,"Benicia","BEN"
19402,95,4,"Dixon","DXN"
23182,95,4,"Fairfield","FRFD"
60984,95,4,"Rio Vista","RVS"
75630,95,4,"Suisun City","SUIS"
81554,95,4,"Vacaville","VAC"
81666,95,4,"Vallejo","VAL"
14190,97,4,"Cloverdale","CLVD"
16560,97,4,"Cotati","COTI"
33056,97,4,"Healdsburg","HLBG"
56784,97,4,"Petaluma","PET"
62546,97,4,"Rohnert Park","RNPK"
70098,97,4,"Santa Rosa","SRO"
70770,97,4,"Sebastopol","SEB"
72646,97,4,"Sonoma","SON"
85922,97,4,"Town Of Windsor","WNSR"
11250,53,5,"Carmel-By-The-Sea","CML"
18688,53,5,"Del Rey Oaks","DRO"
30392,53,5,"Gonzales","GNZ"
30994,53,5,"Greenfield","GNFD"
38520,53,5,"King City","KNC"
45778,53,5,"Marina","MRNA"
48872,53,5,"Monterey","MON"
54848,53,5,"Pacific Grove","PGR"
64224,53,5,"Salinas","SAL"
65112,53,5,"Sand City","SNDC"
70742,53,5,"Seaside","SEA"
72520,53,5,"Soledad","SOL"
2868,79,5,"Arroyo Grande","ARGD"
3064,79,5,"Atascadero","ATAS"
22300,79,5,"El Paso De Robles","PSRS"
31400,79,5,"Grover Beach","GRC"
49362,79,5,"Morro Bay","MOBY"
57414,79,5,"Pismo Beach","PBCH"
68154,79,5,"San Luis Obispo","SLO"
8758,83,5,"Buellton","BLTN"
11446,83,5,"Carpinteria","CARP"
31414,83,5,"Guadalupe","GDLP"
42524,83,5,"Lompoc","LOM"
69070,83,5,"Santa Barbara","SB"
69196,83,5,"Santa Maria","SMRA"
72576,83,5,"Solvang","SLVG"
34120,69,5,"Hollister","HST"
68014,69,5,"San Juan Bautista","SJB"
11040,87,5,"Capitola","CPTL"
69112,87,5,"Santa Cruz","SCR"
70588,87,5,"Scotts Valley","SCTV"
83668,87,5,"Watsonville","WAT"
14218,19,6,"Clovis","CLO"
14274,19,6,"Coalinga","CLNG"
24134,19,6,"Firebaugh","FIR"
25436,19,6,"Fowler","FOW"
27000,19,6,"Fresno","FRE"
36084,19,6,"Huron","HRN"
38226,19,6,"Kerman","KMN"
38562,19,6,"Kingsburg","KNGB"
46828,19,6,"Mendota","MDA"
54008,19,6,"Orange Cove","ORCV"
55856,19,6,"Parlier","PAR"
60242,19,6,"Reedley","REED"
67056,19,6,"Sanger","SGR"
67126,19,6,"San Joaquin","SJ"
70882,19,6,"Selma","SEL"
2924,29,6,"Arvin","ARV"
3526,29,6,"Bakersfield","BKD"
9780,29,6,"California City","CALC"
18394,29,6,"Delano","DLN"
45736,29,6,"Maricopa","MCP"
44826,29,6,"McFarland","MCF"
60704,29,6,"Ridgecrest","RGCR"
71106,29,6,"Shafter","SHF"
77574,29,6,"Taft","TAF"
78092,29,6,"Tehachapi","THPI"
83542,29,6,"Wasco","WAS"
3302,31,6,"Avenal","AVNL"
31960,31,6,"Hanford","HAN"
41152,31,6,"Lemoore","LEM"
13294,39,6,"Chowchilla","CHW"
45022,39,6,"Madera","MAD"
16224,107,6,"Corcoran","CRCN"
19318,107,6,"Dinuba","DBA"
23126,107,6,"Exeter","EXR"
23616,107,6,"Farmersville","FMVL"
41712,107,6,"Lindsay","LNSY"
58240,107,6,"Porterville","PTRV"
80644,107,6,"Tulare","TUL"
82954,107,6,"Visalia","VIS"
86300,107,6,"Woodlake","WLK"
394,37,7,"Agoura Hills","AGRH"
884,37,7,"Alhambra","ALH"
2462,37,7,"Arcadia","ADA"
